topic,image_id
81,Idadb067032f0560f4c2ab7cc
99,If2c261d357fedf26800b93e6
98,I7770c919959bd7d1d3af5f12
73,I74bbeafa0a38c017cab34f3e
81,Ica07bf702dbc947d46a105ea
72,I5c67d275e5cb417b8cd6f13c
67,I865464246653c243c0de46c9
69,Ib7904cea40fd1ed2a85687f2
54,Ic6cf9906998a4aa3e6845ba7
67,Id233a006ec2b9c3084bca843
66,I319151a0976d3fa4e5f75672
99,Iaa3535cea864681d37a2c1f2
67,Ia5dfc55aa299399f859140be
86,If9a26000945d294ff42e03f5
99,Idcf2e4dbf00c7789bfb5fea6
67,I6ec76d6128a736515ca3b209
60,If056931a12e0bdffde48ab2f
54,Ibebe9afce6c5fc6aadaecbba
53,I2f85d1ffc95f865f28685254
82,I421b3a83afb82ec38507020c
100,I1fd819a57a1e9ac506d0ae66
52,I734a659b5aa954db2ce38f42
69,I3b844e7b0028471c312694d5
92,Iab06791d38226128cac60dda
94,I061d1d945ca164dd23f98a1f
87,I64735ff8b30caa59f6be6a6f
90,I5e6eb59baf6fa8a37b7b46bd
63,I3504de083f1eb66b98b75ecc
90,I806d0f1d17653a6217ad2eb7
53,Ib1a3985760c5c4e4e932d2a6
88,I5a9f32d5968e7237b89202b2
76,Id15c103a9a4eef4e2f5dac52
69,I0b6aaa3f8dd5ec67bc4cc371
61,Ib717c9e1b3ab66fa2a183809
81,I52e7aa0777e1397b918cc6e0
100,Ifb99a630ded0827a1f41e401
84,If6a38c418af598e7c1e9815b
92,I9f2c0f1b37af42ce0217a3d4
85,Ib20cf0e542773b2a93825f0e
100,I672bfbe5506fb0f6cf6af209
55,I17c554df2efd929bbe61a3af
53,If7b1b0108046337ccbe85e01
87,I9078751d506fcb6f5989b16f
91,Ia4f1b1aab675cd4384669a98
81,I7a4e53f3ab21c963e7cd4fc2
63,I1c4dc0155a356c25b4e795ac
83,Ib296d2fe073f20dad5731b53
78,I0d9c4ec76c6a0a59182e0aac
63,I1fc93f8ca6717df012864448
91,I422caf595f7560c33b506a8d
73,Ib483adf5b16b9e17b4a82fd5
53,Ie87f8f9b4cc9f981a43d69b8
72,Idcaf1ec0dbf63e8e352721c9
83,I032f1cc0517c0e47a35622d6
70,I767e8526f2c10c3670067b2f
86,I474bc7091b0718f57548380d
87,I0b56ba27b2a2c1c619a98249
61,Ia15c6d777f22d0567eb59b4a
60,I91bd6aeae8ae37fd1463c133
84,I8fc249bec3123ef6fd841312
81,I79881c4ab304b1746ff976ab
64,Ic6c095a77b88cc34b5b3f095
51,Ifdf1eae950d18f6d907ae086
73,Ie37d4fb71ee248c393b98a0f
100,I745b25eb25662086d00e2eae
78,I179c3defafc8fe922250741e
54,Icad2b24e31a43b389e11b195
74,Ia6b12786ff2ae8cf011aee6f
61,I662ee935bbc54c06b72ab550
70,Idcef2c6a33f576ad13008b28
84,I5d15809c5d05c6fa66191287
61,I7b81f8edcaf2e86c4caeb051
76,Ic1f99d62621292ad334a3ee4
76,Id513acbb027e507105e1a1b2
58,Iddf3a7e27fc3b87660384094
93,Ie2f510fe8ba2a6f17dee8161
71,I6d6feaac38e05ab0c521b2a5
65,I2bc94060afcd7f34509c971a
52,I0f84279a75f8fdb61ed3b86e
55,I85b9d4c118c3f32eb6733dd8
51,I01695eee9bea04278d7e3dda
55,I25578fe075665ddd3700129e
67,Iee83c27fc2b74fe485832274
79,Ib0271aeb48b903fe360b7a9c
99,I7d8d1c3c4eb159cd6eb51f21
56,Ic9adf960510c704c0c5e8d7c
60,Idc4e84be341132d16ce7807b
99,I19e14c04f5a12187bab63128
91,I370f7c01646fb2768c84f8f3
65,I17e14a9731e4c284a2410b85
76,Ie4afa94f69343d7f4085ad07
88,Iff58c31f589e80d21be88c5d
95,I1ee02e6e9681646ec96b1902
84,I9292f53d5b12bb8313fdaa78
65,I8113f806c8e271215eac9be4
59,I14e0be1cae689f8bbadebd3a
55,Ie2c6b0eaa0b3f1d0738b63c0
88,If5a99e5f5b075540d6f6cc7e
70,I1d50dc847ec1d1a72d032a87
68,Iba6790087ea8f9f1834ca41d
87,I075582c29c776f69a2eae47e
94,I523c689b4819e470866085f1
65,I794cdc8cbd0c24a7821cd8ac
90,I099c85e41f7dc57a925dd323
77,Ia7d37c7ce93596e6f8fbb150
69,I59475e26547ea00f952e98e3
90,I56c193ff21029b1a6a29f784
74,Ib6a52efbc23733309bf256cb
59,Ie8baf9020f40786555ee74fc
96,I6eaa5a2619488f2d9c501657
76,Ib4ecc20dec9779da98700850
51,I0b34a60dd27fe60eff23cecd
65,I2482142a864b55a67300f734
99,I40d502af399d298256ea3d70
65,I46f20ae891619c4777773818
58,I6cecc9ab3c4cc19c19b27f62
58,I8e2404236cc3f4889f47cd70
67,I9ea7d5d1a2b968cb36494963
96,Icad6682999493e085b0c9137
65,If75572df2e6f1dbe7fc96172
99,I1459810b16dbcb048e7a40a8
52,I3f8519eefa9f78091c21e03d
61,I537af35c6a3fd1c6a6db8f0b
96,Ie9d2bc0bf8b9a7c4db44858b
61,I4a9dd91ceeb4cc20b78e7540
85,I28fbf7a2e60acf0ea61987cd
71,I88156dbfceedfcfa6f5245ab
53,Ia07b10ed621a01f719ea2edd
88,I7037e0d5c134c508b11b5742
59,I905cb52189ce8578ed494d1d
98,I545293a0af5933953c1bddd9
90,I3cba08c9c665770923ed0450
94,Id92f8bffdfe335dc5342ef3b
69,If981f2ecbde303ed52b6fc16
100,Ie4e782f6a2b3e6487c3ee251
90,I29d7a1419413707b8ef6c3d2
72,I36e36abc9871a44aa5077834
60,I47e8c0159927bfd30c6cbe5a
54,I71e16947aa2826267577eb06
87,I99f06c1e70d98344699024bd
78,Ib01717225ac4f1f6fe4db71f
77,I539588482cf22800ed1f3fd9
87,If9b507fe241eaa5a309fd4d1
51,Ie526fa1c960c140c4ac88028
100,Ia32d7d6c32cd00df81541542
67,I32fcece22440b1a3fdc2ca4b
60,Id2ea3da66852848e40411805
78,I224e0e8930dcfa60e7f89045
100,I3c5eebb14dcdb6f9b74f718d
55,Ib92d7037274666ab7c4b703d
95,I39705b3e98c95adc2fa5be56
53,I1e56ad44d148ce7a52054d68
69,I32716595b4d15bfdbf27720b
74,I818eb947479ae640aa44bf33
94,Ia339b6a75d5bf79f8378c9d4
78,I671dd8c6b3dcf519cfff7e40
84,I2f346ed2b8bcf1749453c908
65,I7b2f50c712c3234b7b35273d
81,Ia458defd2fe7b0ecd4daceeb
79,I3820224c14be886e9d8ecae6
65,Idb9cae43ddb2ee0af2c2c0eb
99,I1e75d4d568e408958eec7797
80,Iba071f7951b4d0c487126e9b
74,I98e6daed21764b987e29efd4
66,Id0793bfa5867e1a0ee083d00
74,I039093157428f1d466d12d86
100,I197639238fdef90a7f4f0c85
78,Ie7e2f6f4c8b79598352d4bc4
89,I394e7abb99caa269b7e4bbf8
74,I902c762cba222d0ebc5053ec
94,I4f9eef33f0997a3c902be625
76,I18c498784e699a833087706b
71,I0585ef9232191c60b2583563
84,I4a976bf8900ba15ee2ffd954
100,I9feaab8c3272c1877a0564af
57,Ibe77f0157848515cff3fe068
98,I9909280c1df651db6d6107cb
99,Ida79910be9fa8410eec0c9c2
95,Id4f40ec5139d0b31adbb42b0
79,Ie934703e3d89e776ad95473a
84,I8ac15edb46c0460edd88a551
63,Ieff7df789e2025c0fbc294ea
51,Iaa04c83e66d143cde97e5d9f
55,Ieb068529ff623749f3187c82
52,I15a114de7ad8464b1bf8173a
86,I7cd36f4e7844dbe9f3568d64
88,I3b6752d906a743ce444be1fc
66,Ib2d513ed09532544a687db3c
75,I2aca1f4b777ce4858b0e52ab
89,I1bdc0efd0525b8f6d89b91ac
56,I2367a5cd8ca477ee11a62cef
59,Ibe38ecf5291d4189e24a995e
61,If7bd428bf549992decbb0192
90,I58c543d5aec36de77e3a95b5
97,If0e89d727b5483416650069c
56,If8042b129c4ced3c09a7ab2e
57,Iae633cb9d50d15c866eb454c
66,If216bd60a03f9fd4d6351253
85,I6066b6020e381ab306089c18
74,I629f7a25c210b65a61abe4bc
77,I73e02787c8235ea82ba39316
53,I2e76dc0021a48843c3616a47
61,I6301e7df69bb23f6a5d610e0
56,I704cdcbdfa35a336749f3d90
73,I738750a5d1f8e49a97d8de34
73,I1a344239615ab9972d3676f0
87,I006e6a06ffac92ed5cc3506f
72,I15db588ffb420577d1fa3e1b
87,I567d6cb9ea23247ecf91a2a9
76,I5f1a6e97ac2a708276758de7
52,I8cab02c1b8eec76bca50ef05
65,I464cf58635653b61bd8d19cf
95,I539b173250929b1d18bc53fb
79,Iffa4cd6dcc266ea76ed5fdd6
52,Ia635a9a9d0a582af3e1a813a
65,I0ac8ff0f288c17fd912a4d8b
79,I8b0cf1f014431e8ed3ed8b8a
97,Ia8465972cc79ab2614d5dfe4
94,Id17bdac06bf2bea1aa0654c6
91,I569f049cb65188ab47766092
61,I97889a01e3940bfb6390c1c8
52,I6271df02c2bd4c804e06c025
54,If8081782db49908d8bba374d
95,Ib1ae36b220a3f3938eab168e
79,Idaa9b81334532a74a6ca9d78
64,I6785916d6ac238e17a105e53
91,I32e96fc2fd2e104c5af831bc
65,Ib322627fde0282b2536944d1
92,I2ea5ce07cec56cf6927ea02a
80,Iea8b1e86fa6f9cd2bc2215c1
66,I0df642e299654916496217a0
66,I134bd7f977494e4926c13d99
97,I5fbbab7ef27113a6f5eb47a4
52,Icb879163f77f783c88a7bb62
87,I4c6ff8e6c96e142450a658b1
65,I810f4ea305bb1690e030d1a7
57,I61717a9010b56ba4b4df493e
65,I7e932ace7e4de57966841381
100,I39a13594acd1df92181e5c95
52,I6f9a4bc13dbe42d8177a5e0d
65,I0fca883e074892e101428955
74,Ice1fb4274c6777bfe7b56ea3
64,I14aebffe9516fdd7de30556b
72,Iaab9844e47ef5c7d80af63c1
63,Id65fce0183fa95041195f264
53,Ia811004beab06cf73c7459ec
97,I884ac47418a1b2783bd669d6
76,If21c1a193837d236a2ee285e
94,I1d1f7a5abd378d28ad925cec
51,Ia146f5c11acc7bdcb2621d8b
100,I097ffde3d34ae71ccab85f37
68,Id9b0bf1eea5ddd91cfa6868b
89,I7579a4d9bc194965172e332f
67,I56eb5acf5490113d1618ada9
100,Ia253b784426f5d371cb31726
59,I9c8c4d4f376635248269912c
87,I564d864e4a0f99aa14eca467
61,I9ce1beab58a9d69d308d0ecb
96,I355d2aa8499d84c7d411873a
54,I42f046a9102ca94827389272
74,I1c0c6053e77c2f28174a802e
67,I137229c8d04fb1cb5e9512c4
69,If5b19b0edbd551771d3b765e
88,Ic34253143a59bd921ca60df5
90,I5e4a299cb8b8dca832c6110b
60,I33fa0e064dd74199ca96bf39
93,I484f86b6df7fda74bce3d542
54,Ibe68cc23776437f8785027d3
56,I1f7c4e0b93f7ac3af106f8ec
76,I520e9d72c7ebdf55e8eb320b
78,I3a144086fb8481f9bfc8781f
83,I4f13526042340cccdf221aaf
57,I1e0044a6517e5bd970f37340
100,I610da57791687920c20da020
60,I8ee5c706fc1fb8bd02988d51
84,I3cf0d19fa904efad4a1fd5ed
74,Ia9e131bede7c24b75067ae7a
80,Ief2582ae542b0c0d6e3c1ea5
87,Ia4c3c1f4633ea3902dc09839
69,I7c4477799e155c323a9056b5
81,I13fa37b22bf7d8c8b609ab6b
99,I5d7965225138f5720c8b491e
51,I973f611b50d33ce01db3a4d6
81,I002ccc4b8665f207e0522241
74,I92fc21ec97dfab7da346109e
65,I48f7c4333928be31d84fae4a
72,Ib42c7bdf76759327c600255f
93,I53536c0ab0060268389fe171
88,Ic997e6a2771539264825bdcc
75,I483d32456f7dcfcb8daec3a2
100,Ie1c83463f4312f40012fd259
71,Id76f8c4a2018415ee8c7e3fa
55,I2c4b1734628f4acfa9af87c6
74,I5e75e3042b0d1e47c0cf0419
51,Ide263fb467d919abb40968e3
51,If5b44794babe87568f8f9e9f
76,I99d634c896543037446452c3
54,I22e3755b0f86613dd1c2a8d0
95,I50662e7dc8c9507729ec8bfc
66,I32c730e91b05013c9db66018
68,Ib9d5ee2965a8f166f7fb0497
79,Id9e55061c84b9b04ed96ca5a
58,Ia25764fe0dc6aac1f0c352ea
84,I4ce928ab94bb663181d6de36
53,Ibdc993d52c2d486dbdfe0888
57,I6708d1fabeee25d3c2c7bcf8
94,If4786dec0ee6c2cbafa3703f
74,Id223798600ecd3c7422c5ee7
63,Ie3e2d9b6fbd86c106e76f36d
91,I00679543c1001268dbe876b1
89,I3c642d3a111ea7a43224fdc3
87,Ia26b0fb616392497a3c3fa78
93,I67700fbdeb198cff409069c0
61,If70488539aadf99d263bea13
68,I93c06514efcecec522b1d83e
58,Icec36058fed998f754345a1b
63,I285d16c5dda92ccf71c7de81
73,I0002b05585f82dea788da88c
76,I79468fc152a57437b4272af5
89,Idc0b9a812cbb45101156161c
65,Ibb46c6e1bb2c6ad96ca1a03e
71,I81d6dea6a2b292308d3a7e66
74,If5ebd7f29cf3c5b9c1dc6beb
63,I9baa82898ace4700f077c729
86,Id370f5e665586e2955255be2
85,I8621cdec29f8bf52b57c0ad0
57,I9ecb9ed693a685b40ef4ab6f
54,I6e37e67e344ffc37a2430903
82,I6d5f323d9fe922dd0c2bddaf
69,I108d62d58d7a2f521237f1ae
70,I24093c8533922c3fd7fe753c
62,Ib7321d434cd275199b983b16
97,I8aaf39b82897c59686fd6e8d
62,I4881b5d8e391b3ef84a6dc62
51,I81ad0ce18726e3302bcf3956
100,Ibd6d85a837edb195be1b0bc4
85,Id8b658588fc2b22771ef1eff
55,I5ac42492efc23a7feccaac85
54,Ide8edcdeb679d47957afb61a
71,I72e8bd89fbd1c8419f7ff11f
61,I58deca53dbdb46fa8f79c077
52,Ida354f89f5bbdd7f8d7ec4a2
74,Ib259f081352765d875e031bd
76,Ie99e62b281de7d6f2db39bf9
76,I3b87d93728e379a9474f9a11
61,I945bd14bfaeb8a6aea338d05
80,Id23b761d5ca14ac41ee425da
75,Ie22b95088e05ae9dc5c8e0c8
60,Id92f716a7422ad610f7447f1
97,I0bf960a9faadeb9a7bb41a34
74,I63281bfb3c054c5b3c95a388
75,I7f1998d97777758e045110b3
94,Ic210c0156e2f2ba56a686147
63,I279b082cb56190df70367a78
73,I7bc93ebeb24a9d393e038bbb
87,Iba9b89664be9be8c3e564bd4
99,I3c61c5670f36925be6d5374b
67,I8a489568ea212da6fac26778
63,If85ad58a60d7aaa9b80084f2
54,Id18c3c77b663467d4a26a473
54,If0e4d82735bba83e233ca667
94,I17667f2d2595eb99dfe53594
91,I22de2919f2b1fc85f789ea06
74,I668e3fc851c0370090178121
67,I185e5e2b6ad435f370467718
58,I2a2298a5d36da8d6ea814081
72,I3a93ddd47080f2d7b6e2c089
83,I5495f5b2921a18ed633f8a91
69,I82658df5ea21bc6bb0282797
99,Ic3c4416229f390bfa0f3fdf0
93,I2750e3b7cc888012c15905c8
87,I6d1aba3fe8fce7b9eb2903e1
74,I1e2a9a4f770fb0f2b267195d
69,I379ded689c53914125c45039
69,I6b8da505258b52b6b2fdd7a6
70,I2b75453a8fcb3d64ca6b7956
97,I57f8903dc13864850f6f6eeb
57,I78451a3094aea306b2300065
87,I6c68a43b6f0c25b30ad45bbb
60,I4e5825b71dd8620d5217ca73
74,I5e567f7580183c5a5d598cb0
65,Ibb7ceaf708ca078b0274e342
95,I8ec07ab337580f145924db8b
54,I023641fd5c3d498d28e897e0
98,I65b3224d28e5333ed7221296
79,Ia447734e9a27b981390bc5c1
83,Ibeff14db375f3dfd4b82efad
96,I703032899dfa6f9e94897335
75,I251f9f39e39359b51423ff96
77,I5a9625da8def87cae84ca8c1
52,I038343fdaabfbbe6e86e2026
69,I7e6984acfcacd425800b8a4c
63,I568cc692236bf08967af6164
56,I7d4c9a16fcc8a239eb7b712f
57,Ia280735d5d46575f84959749
60,Icdfa0d3fd5b2104e571b2bc8
64,Ie6c25149eec2072671d252d5
75,Iadad7757ef9e896c545927bf
74,I74a227f698f2cf6cfb236bc7
78,I3fd37e6a95be390801b06f4d
79,I363f4a4fbdbb282341d9d389
63,I428227fa38f304292852a9b7
91,Id4f65644ade91f6390b22f78
100,I7a78a9138ccc99e5b312e428
59,I50621d3475e80477c7c6bdcf
99,I13604e85d4552d3d8e26d728
99,Ifc851037eb944cfebb941c39
78,I097198641d0e486729887879
100,I6c9b7d34b48c226cd3365d8c
79,I6409d32e5223cc0a4f7e2268
58,If30a5908e567fc7d6f76853b
97,I00b7b6d496ddc8e395b2a8bb
56,I9bf086e166b10d14fbec2c2e
89,Ib9c85068f00d9ea27ebb2dd5
64,Ibb9562f39739f1f43b26d1e1
72,Iabc24a3429be66f4ba4bc5ea
61,I50e8ab9b26f6836c481c4a2d
88,I2c9d6f326c846781e8cc4589
88,I41d1ca4cc1748fe3f62b17e4
94,I8979637fdf2344fca80981cd
94,Ic204b11ff89cf6ae0d35b5d2
74,I883f04aa04ff178fd8c1caa8
65,I87b18dcae90e923d79c8176f
63,Id0a723ec7a6d47dbcb7f7ffe
88,I93064f74620f940ec9a0fc65
92,I37015269f7ea91efbcdfbf91
51,Id6d4dcdaafa53dffb17bdb63
69,I0e008b5a42d1b9ff279bf83e
95,Ie5dd683a9105315c5e36997b
59,Ie29114ec800c51205572220b
81,I30e86aed5f4dba3803802ba6
94,If36ed8e06b16debfdf4d2b7d
53,I4643a596a3119705a0f643f1
71,Ie0e576caebbcf0d59a1235a4
63,I2d4a1951b53cc581e092fa34
91,I01dd1541d27f635127dc0085
86,I7f26e34c48826c55d87038f5
69,I9c8e3e0bb09b8bfd9a08e91a
74,I50019c47fdf277e5225ba051
92,I6669922e4ce926df9f3749e0
54,I7e928c31af276128c033b759
67,I93f3e41c878c8fea9430ce4d
97,I335ed2e274495d5c26c990c1
78,Iad1919863069cd51a4a706e9
85,I67cb5f95d2f47126d819a13d
92,Ib115aebca4614c514434663f
91,Ic3ab155c3fafde2a8bf9d90b
94,I9b048f8aa0c2e11a7a467ea0
60,Ica29fc9fe742435104218748
83,I86c4db7dfd5d836f9548f943
91,I5ebaaec2fc1e99cbc98b4ad3
89,I93cbb6a5f8b453b3b80c4d18
97,I1a6e84873652e5dcfba7d854
56,Iaa00ce66ae1c703e48c48997
87,Icdc41bcdeb3dc25bc53cef5a
65,I41faa533287052154aaebd8a
79,Ifc2b18380787133b5c02d3b3
92,Ib245fd1e627413b0f3a9994c
71,I096f7c723373527fd778ab0c
52,I4b78a753b0518b3c0228f7b2
78,I554502ca140bdd82d3b05abf
78,I0fb5b7179361a1e900ab9aca
73,I37f9bda916c4c55b767dcae3
66,I351d7b1a038ddc6869bf1ee1
100,Id763fd31f553961665c4a5e6
88,I0f3899a404777315d19d861b
55,I26b9123c81fd68578251110f
73,I3ee932724e2429bb1dd76a1c
65,I673d1b59f34493716324b292
56,I55283644ccb7b545e045993d
87,Ic4363d2b2520b42b5d4117d6
75,I031eff2863db76357600511f
78,I170b571d05f22d634172d7dd
67,Id8da0e89942a19d966d62503
66,I1aa7c36a2dd83c05a0b87d24
73,Ia5be57a4aa27030b1d8eb033
74,Ib9938cead85197b5d92550da
60,Ib944a198d905e57865fd3cb7
72,I02369a2b0155a6409534cbfd
77,Iee9b7b0a048884a1cb9ea4b0
53,I07478c481329a8f034b2d99c
84,I13017d86997c175ef0ac17b2
59,I32e421d55be971b362025909
56,I2da6626d8a62215ae6a1d51a
99,I3a97a4e90c99f8d7f1d366dd
76,Ida868f82cf33843072fb89af
69,I892483717250404d5a7165a5
84,Idaecd28eecfe4078fd71ccbc
80,Ib780b60a251cca1b388865f1
66,I5c15e7012df25c77ee3b5209
76,I6ddc668cb769ac6af49bd46c
82,I2652f85d5a727971570b9ffc
86,I2c1de72ff9541656413481de
69,I2df03a0e3fa437b035d74839
63,Icaf8b64460ecb1618299e804
64,Id85ea1ca0d22bd1d12851ce7
54,I6b1b86725ab6bd63ab461faa
97,If7571f72f80f28669925894f
65,I9de3cfd079b67aed14f89a06
97,Ie84924dca4275709cf8859c8
88,I5fa4946b11d14fde1c091356
53,I7fb3af99223fe88caa85f904
100,Ia24a553b0ac74ada37a800d0
56,Id167c9ae32a354a12db75a10
57,Ibabe73c7ecc407651164011d
54,I6a7f4d314279a3453988c748
73,I7c0628b63ff7b3737e77ea33
79,Ie671ca141b08981350436547
93,I9adc9911cb7bbd863cf943dd
96,Ic374a67d0a928738076b53d2
78,Ied02e004cca4afadbc25b249
62,I15c9b19936f255542ff814e4
95,Id7a8ed69c497c37e47a4ae37
55,I925356ea3bdd735b165671aa
94,I4ecad2b456d2f4edd68697bf
72,I0a985286df28826595c9cc65
81,I48a995c800392d7780d31217
98,I3c6e4bb683d6cf35cbd74018
72,Iea91b93202f305c7069c59a8
54,If38f005b3503569bdcb086a3
51,I255ba06964c07218c4570e8d
98,I8ebad56f0f05f21289f66218
79,I4595dee4bb9661cb47d24e87
79,I7de39fb7e48109b69a51b54f
55,Iad79dd561620ba0d9893557b
95,Ic82cef252da7c828da0aede8
90,I97f0091eb136c4731010ed1b
80,I6313d2a0e4d8b48d5dd43dcc
54,I5490182b4b4d24efe52426ba
100,Ie712b102817d2b203e9ecf19
66,I21d9db9f873c4d5597135703
54,Ib6d64768f22d848b390a1027
99,I08f6c7c3536439c0731227a8
64,I0c6b2e8ef762080b3304626a
63,I222564fd3e4ab18e04f23b3f
87,Ie74fea9b3be0941f97f086d3
72,I4e2fd347977f68284def0dd4
79,Ic103b09c55c18229349722b8
76,I727a9a545b6d3b11e20db1db
63,I16d228da91f5b4b0fae887ef
62,I6811c4bb251419b8b084dc1b
90,I45084bd75d8587c3073b5d38
82,I562e3948f3d0d8006970c9da
75,I18ff3f8bf073030bb05a18af
77,I8e7813d6fce51296fbfd13d4
60,Ifd66edd49d69d416b707ce5d
99,I5e4e99fb57e2cf4d06bbac7a
74,I4bdb27a812f5dad0a2248299
81,I850cbf906a025d26f270e31e
90,I85664bc121001c470d0ad99d
75,I2c793a720a9948ab064d4da1
60,Icd9d7efa0527d6d11090f783
60,I90678aa94eda5a86c8b95ed7
76,I7942679bff7bdeb64ea4cbd2
54,I7e2ed5529e436d3bbe848662
96,I3c72bb62681d989af8c83fe0
63,I9f1947d936ab36b21c17a1d7
74,Ic958eb6487ad085e62673ad9
72,I902671b8be0616c3eb403737
70,I8662979bca021167fac0c0dc
100,Ib9b90346e52ca0c7fbeae84a
52,Icdf94e6899102d0e6654b70f
63,I286b64e27f3b94fc4cd6d981
91,Ie3e518b4ffe6ed004aa2db5e
66,I1490cf097ba052bcf6af4780
79,I3b56ec0f16f7e9d6f30597e8
53,Ic3270394c5b57dd57209156f
67,Ibde83b11bc3a69cda1f590de
72,I7c88606517358f36a0968b44
99,I823ea6f4fd368ffe162b3518
79,I116fa06f6c0f3e610f2096a5
63,I374c16b41049f58771ccfab2
99,Ia74bce3584372e914c9df917
51,Ib2ff098ebc66f81d89bd82aa
74,Ic7f15e71856a40cfa30ed20b
61,Ic82cc118eb2d27857e3cc32a
67,Iaa0931dc49496622bbfbd8be
82,I626790fc6fe35446e54e0838
67,I1cded5bcebf8ed6136d7af17
55,I9ce74ecc94026eed12fa2e0e
89,I4b1506b81e25831183c1fe6a
86,Iad94c19a445f7a328656a807
60,Ia3a6229f2f5806adc282fabe
75,Id8f4c6d3ae3609a0c625bbf3
97,Ieb48ed0bdb56439d8c9e9b33
91,Ide979e27cf3b0cee8ebf4211
62,I252074dfc236d8bca582fc29
72,I4b808a0d6b2f5bf1034c23b9
75,I419b6adfd42d7209414fc3ec
75,I534d0d3f1439533de76c9a3e
